timestamp,mean,lower,upper,actual
2025-11-21 17:18:41,7122.404,6913.4956,7348.2207,7013.551359536771
2025-11-21 17:18:43,4193.494,3865.5073,4558.174,4081.1150369974025
2025-11-21 17:18:45,5607.128,5364.9043,5881.4453,5466.261238923992
2025-11-21 17:18:47,7380.2925,7168.205,7539.9395,7332.130370752527
2025-11-21 17:18:49,7738.805,7545.2554,7958.069,7542.878257747188
2025-11-21 17:18:51,7872.9683,7597.168,8099.8984,7797.798788542113
2025-11-21 17:18:53,7843.6313,7567.546,8110.7915,7598.991361340389
2025-11-21 17:18:55,7943.4487,7623.9214,8215.623,7717.515007086329
2025-11-21 17:18:57,8433.301,8204.469,8704.146,8113.479471982686
2025-11-21 17:18:59,8499.06,8210.846,8755.26,8502.657280278456
2025-11-21 17:19:01,8571.843,8305.47,8875.457,8528.709029856424
2025-11-21 17:19:03,8529.729,8163.0293,8876.076,8858.545148818617
2025-11-21 17:19:05,8171.319,7821.2236,8528.266,8387.977871381749
2025-11-21 17:19:07,8278.839,7947.3047,8729.266,8495.249494198579
2025-11-21 17:19:09,7290.1035,6905.1772,7700.648,7331.867640417198
2025-11-21 17:19:11,3059.5032,2657.1687,3478.3335,2993.625398453159
2025-11-21 17:19:13,2781.1157,1844.0918,3512.1619,3167.8524626088956
2025-11-21 17:19:15,4378.1797,3455.909,5426.9897,3983.2927593131017
2025-11-21 17:19:17,7972.5264,6968.065,9040.91,8526.105412942794
2025-11-21 17:19:19,4597.246,4081.9895,5233.9478,3654.3148284162817
2025-11-21 17:19:21,8964.77,8228.612,9640.117,9477.579458288372
2025-11-21 17:19:23,8776.972,8330.562,9287.825,8830.414087525089
2025-11-21 17:19:25,3054.2378,2594.1028,3526.6545,3011.9158924346984
2025-11-21 17:19:27,3578.5693,3057.4717,4023.6772,3293.106550502297
2025-11-21 17:19:29,3358.5771,2753.3174,3918.5547,3305.733129386795
2025-11-21 17:19:31,3147.2102,2531.2275,3670.8296,3001.9876767590963
2025-11-21 17:19:33,3902.3691,3219.8564,4644.3804,3266.2411878631715
2025-11-21 17:19:35,8530.741,7778.9473,9185.755,8800.609943346804
2025-11-21 17:19:37,9791.51,9400.644,10242.351,9504.08871856179
2025-11-21 17:19:39,9165.15,8777.494,9526.946,9352.500189523413
2025-11-21 17:19:41,4392.742,3974.3342,4756.9883,4309.758962041477
2025-11-21 17:19:43,3116.761,2652.972,3539.15,3096.1204478680324
2025-11-21 17:19:45,3355.1294,2919.9026,3775.565,3091.5926146889324
2025-11-21 17:19:47,7605.875,7218.9546,8056.093,7597.29340775391
2025-11-21 17:19:49,8822.771,8474.01,9208.371,8973.086356222477
2025-11-21 17:19:51,8884.109,8560.013,9144.931,8887.730084967026
2025-11-21 17:19:53,8814.869,8479.096,9099.692,8942.61406549094
2025-11-21 17:19:55,5360.285,5036.3315,5658.179,5139.332671414697
2025-11-21 17:19:57,2986.1113,2682.8357,3272.4346,2757.2074927931435
2025-11-21 17:19:59,5876.543,5574.8716,6161.573,5766.6939373274645
2025-11-21 17:20:01,7430.991,7125.2314,7706.282,7978.040356204655
2025-11-21 17:20:03,7443.4893,7243.6914,7641.39,7637.489034799415
2025-11-21 17:20:05,7582.263,7309.167,7820.452,7789.467102987638
2025-11-21 17:20:07,5892.2056,5687.6064,6164.5317,5687.882520578595
2025-11-21 17:20:09,4483.512,4189.4937,4734.3213,4263.228680041423
2025-11-21 17:20:11,6916.3184,6641.998,7193.1606,6744.099226083146
2025-11-21 17:20:13,6782.732,6547.7305,7040.842,6653.461749893011
2025-11-21 17:20:15,5378.119,5055.096,5731.098,5419.970721728051
2025-11-21 17:20:17,3420.2983,3119.065,3744.4033,3409.8711090080847
2025-11-21 17:20:19,6625.7837,6322.8765,6922.5933,6508.876481198386
2025-11-21 17:20:21,6195.5845,5930.6484,6502.656,6066.747517894413
2025-11-21 17:20:23,6423.9917,6177.626,6673.7314,6226.861548761482
2025-11-21 17:20:25,4950.6523,4676.537,5217.521,4806.234810900483
2025-11-21 17:20:27,2223.3394,1921.0448,2556.854,2164.0061697889137
2025-11-21 17:20:29,5626.57,5341.2812,5901.0156,5375.383917212424
2025-11-21 17:20:31,4673.7505,4382.225,5039.376,4504.449753316004
2025-11-21 17:20:33,1648.7292,1279.3959,1978.6775,1612.3193421706746
2025-11-21 17:20:35,1695.6747,1366.1532,2039.0262,1596.9965043868483
2025-11-21 17:20:37,1720.3391,1247.3676,2161.4897,1288.9757325010107
2025-11-21 17:20:39,3635.8682,3018.0012,4148.463,3726.6788446444157
2025-11-21 17:20:41,1648.971,1228.372,2099.2527,1366.7625172822002
2025-11-21 17:20:43,1015.9501,639.255,1496.032,1169.5703955455422
2025-11-21 17:20:45,836.06665,393.12967,1231.3269,854.7251607055749
2025-11-21 17:20:47,1048.4845,736.5068,1332.197,1004.0741120712098
2025-11-21 17:20:49,2482.0583,2252.7188,2747.5396,2407.3984600313725
2025-11-21 17:20:51,1818.9509,1599.16,2030.6902,1814.3988632024689
2025-11-21 17:20:53,822.0655,555.3485,1063.8424,757.8549079039592
2025-11-21 17:20:55,1467.4856,1272.3518,1674.9537,1442.844218954678
2025-11-21 17:20:57,407.38663,215.87558,615.152,179.72820997037363
